Day,google
02-03-19,18
03-03-19,17
04-03-19,14
05-03-19,15
06-03-19,14
07-03-19,15
08-03-19,19
09-03-19,41
10-03-19,52
11-03-19,42
12-03-19,40
13-03-19,39
14-03-19,39
15-03-19,50
16-03-19,78
17-03-19,100
18-03-19,40
19-03-19,30
20-03-19,28
21-03-19,25
22-03-19,25
23-03-19,34
24-03-19,40
25-03-19,25
26-03-19,27
27-03-19,24
28-03-19,26
29-03-19,32
30-03-19,56
31-03-19,98
01-04-19,34
02-04-19,26
03-04-19,24
04-04-19,21
05-04-19,24
06-04-19,27
07-04-19,30
08-04-19,23
09-04-19,19
10-04-19,21
11-04-19,22
12-04-19,33
13-04-19,50
14-04-19,77
15-04-19,29
16-04-19,20
17-04-19,19
18-04-19,19
19-04-19,19
20-04-19,24
21-04-19,25
22-04-19,19
23-04-19,19
24-04-19,18
25-04-19,19
26-04-19,25
27-04-19,49
28-04-19,77
29-04-19,23
30-04-19,21
