Day,google
02-07-17,5
03-07-17,4
04-07-17,4
05-07-17,4
06-07-17,4
07-07-17,4
08-07-17,5
09-07-17,7
10-07-17,7
11-07-17,6
12-07-17,6
13-07-17,7
14-07-17,7
15-07-17,12
16-07-17,46
17-07-17,99
18-07-17,34
19-07-17,18
20-07-17,12
21-07-17,10
22-07-17,12
23-07-17,21
24-07-17,61
25-07-17,26
26-07-17,16
27-07-17,11
28-07-17,10
29-07-17,11
30-07-17,18
31-07-17,59
01-08-17,28
02-08-17,16
03-08-17,12
04-08-17,20
05-08-17,26
06-08-17,26
07-08-17,58
08-08-17,28
09-08-17,17
10-08-17,13
11-08-17,12
12-08-17,14
13-08-17,26
14-08-17,71
15-08-17,29
16-08-17,50
17-08-17,39
18-08-17,25
19-08-17,23
20-08-17,28
21-08-17,58
22-08-17,33
23-08-17,23
24-08-17,18
25-08-17,18
26-08-17,22
27-08-17,37
28-08-17,100
29-08-17,33
30-08-17,18
31-08-17,12
